,venture,price,Emi,marketed,location,no_beds,possession_date,Avg
1038,NA,₹5.5 Cr,EMI starts at ₹2.73 Lacs,NA,Vision Urjith,NA,3500 sq.ft,Build Up Area3500 sq.ftAvg. Price₹15.71 K/sq.ft
1039,NA,₹1.31 Cr,EMI starts at ₹65.04 K,NA,"Gouri Shankar Nagar Colony, Banjara Hills,Hyderabad",NA,1750 sq.ft,Build Up Area1750 sq.ftAvg. Price₹7.49 K/sq.ft
1040,NA,₹38.5 L,EMI starts at ₹20.39 K,NA,"Sai Arjun Exotica,Industrial Development Area Bollaram, Mallampet,Hyderabad",NA,1150 sq.ft,Build Up Area1150 sq.ftAvg. Price₹3.35 K/sq.ft
1041,NA,₹39.0 L,EMI starts at ₹20.65 K,NA,"Sai Akhil Jewel,Industrial Development Area Bollaram, Mallampet,Hyderabad",NA,1100 sq.ft,Build Up Area1100 sq.ftAvg. Price₹3.54 K/sq.ft
1042,NA,₹38.5 L,EMI starts at ₹20.39 K,NA,"Sai Arjun Exotica,Industrial Development Area Bollaram, Mallampet,Hyderabad",NA,1120 sq.ft,Build Up Area1120 sq.ftAvg. Price₹3.44 K/sq.ft
1043,NA,₹1.41 Cr,EMI starts at ₹70.00 K,NA,Ramky One Galaxia,NA,1665 sq.ft,Build Up Area1665 sq.ftAvg. Price₹8.47 K/sq.ft
1044,NA,₹3.85 Cr,EMI starts at ₹1.91 Lacs,NA,"Gouri Shankar Nagar Colony, Banjara Hills,Hyderabad",NA,3130 sq.ft,Build Up Area3130 sq.ftAvg. Price₹12.30 K/sq.ft
1045,NA,₹3.85 Cr,EMI starts at ₹1.91 Lacs,NA,"Gouri Shankar Nagar Colony, Banjara Hills,Hyderabad",NA,3130 sq.ft,Build Up Area3130 sq.ftAvg. Price₹12.30 K/sq.ft
1046,NA,₹1.8 Cr,EMI starts at ₹89.36 K,NA,Aparna Sarovar Zenith,NA,2025 sq.ft,Build Up Area2025 sq.ftAvg. Price₹8.89 K/sq.ft
1047,NA,₹1.07 Cr,EMI starts at ₹53.05 K,NA,Niharika Landmark,NA,1595 sq.ft,Build Up Area1595 sq.ftAvg. Price₹6.70 K/sq.ft
1048,NA,₹1.15 Cr,EMI starts at ₹57.05 K,NA,Niharika Landmark,NA,1715 sq.ft,Build Up Area1715 sq.ftAvg. Price₹6.70 K/sq.ft
1049,NA,₹1.28 Cr,EMI starts at ₹63.70 K,NA,Niharika Landmark,NA,1159 sq.ft,Build Up Area1159 sq.ftAvg. Price₹11.07 K/sq.ft
1050,NA,₹1.55 Cr,EMI starts at ₹76.95 K,NA,Aparna Sarovar Zenith,NA,1790 sq.ft,Build Up Area1790 sq.ftAvg. Price₹8.66 K/sq.ft
1051,NA,₹22.0 L,EMI starts at ₹11.65 K,NA,"Sai Akhil Jewel,Industrial Development Area Bollaram, Mallampet,Hyderabad",NA,540 sq.ft,Build Up Area540 sq.ftAvg. Price₹4.07 K/sq.ft
1052,SNR The Elite,₹67.84 L - 1.12 Cr,EMI starts at ₹35.93 K,Marketed by  Squarefeet Online Realty Services Pvt Ltd,"Gopanapalli Thanda,West Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Gopanapalli Thanda","Jul, 2027","Possession StartsJul, 2027Avg. Price₹5.90 K/sq.ft"
1053,Vasavi Metropolis,₹59.64 L - 1.09 Cr,EMI starts at ₹31.58 K,Marketed by  THE RESIDENTIALLY,"Uppal,East Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Uppal","Apr, 2027","Possession StartsApr, 2027Avg. Price₹5.60 K/sq.ft"
1054,Krishna Urban,₹52.8 L - 58.58 L,EMI starts at ₹27.96 K,Marketed by  Teja Boppana,"Miyapur,North Hyderabad,Hyderabad",2 BHK Flat for sale in Miyapur,"Jun, 2023","Possession StartsJun, 2023Avg. Price₹5.50 K/sq.ft"
1055,Canny MNR Elite,₹24.4 L - 62.4 L,EMI starts at ₹12.92 K,Marketed by  Propbuynsell,"Kapra,Hyderabad","1, 2, 3 BHK Flats for sale in Kapra","Jun, 2027","Possession StartsJun, 2027Avg. Price₹4.00 K/sq.ft"
1056,EAPL Sri Tirumala Millennium Phase II Block A,₹54.47 L - 67.83 L,EMI starts at ₹28.84 K,Marketed by  Blue Sky Realties,"Nacharam,East Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Nacharam","Jan, 2026","Possession StartsJan, 2026Avg. Price₹4.60 K/sq.ft"
1057,Greater Kompally County,₹39.12 L - 94.8 L,EMI starts at ₹20.72 K,Marketed by  Mahesh,"Kompally,Hyderabad",Residential Plots for sale in Kompally,Ready to Move,Possession StatusReady to MoveAvg. Price₹20.39 K/sq.yd
1058,Sark South Green Field,₹45.01 L,EMI starts at ₹23.83 K,By  Sark Projects India Pvt Ltd,"Tukkuguda,South Hyderabad,Hyderabad",3 BHK Villa for sale in Tukkuguda,"Oct, 2022","Possession StartsOct, 2022Avg. Price₹2.39 K/sq.ft"
1059,Sark Green Leaf,Price on Request,NA,By  Sark Projects India Pvt Ltd,"Gudoor,South Hyderabad,Hyderabad",Residential Plots for sale in Gudoor,Ready to Move,Possession StatusReady to Move
1060,Sark Prime North Meadows,₹2.5 Cr - 3.2 Cr,EMI starts at ₹1.24 Lacs,By  Sark Projects India Pvt Ltd,"Mokila,West Hyderabad,Hyderabad","3, 4 BHK Villas for sale in Mokila",Under Construction,Possession StatusUnder ConstructionAvg. Price₹9.62 K/sq.ft
1061,Delight Fortune Block B Block C,₹55.2 L - 82.8 L,EMI starts at ₹29.23 K,Marketed by  Sri Gayatri Infra & Developers,"Kompally,North Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Kompally","Dec, 2022","Possession StartsDec, 2022Avg. Price₹4.80 K/sq.ft"
1062,NA,₹92.0 L,EMI starts at ₹45.67 K,NA,Canny Group Canny IRIS,NA,1475 sq.ft,Build Up Area1475 sq.ftAvg. Price₹6.24 K/sq.ft
1063,NA,₹46.0 L,EMI starts at ₹24.36 K,NA,"Thimmapur, Hyderabad",NA,200 sq.yd,Plot Area200 sq.ydAvg. Price₹23.00 K/sq.yd
1064,NA,₹7.0 L,EMI starts at ₹3.71 K,NA,"eagle infra projects,Shadnagar, Hyderabad",NA,120 sq.yd,Plot Area120 sq.ydAvg. Price₹5.83 K/sq.yd
1065,NA,₹73.0 L,EMI starts at ₹38.66 K,NA,Shree Homes,NA,1678 sq.ft,Build Up Area1678 sq.ftAvg. Price₹4.35 K/sq.ft
1066,NA,₹66.5 L,EMI starts at ₹35.22 K,NA,Shree Homes,NA,1120 sq.ft,Build Up Area1120 sq.ftAvg. Price₹5.94 K/sq.ft
1067,NA,₹60.0 L,EMI starts at ₹31.77 K,NA,"Kollur, Hyderabad",NA,500 sq.yd,Plot Area500 sq.ydAvg. Price₹12.00 K/sq.yd
1068,NA,₹96.0 L,EMI starts at ₹47.66 K,NA,"Narsingi, Hyderabad",NA,800 sq.yd,Plot Area800 sq.ydAvg. Price₹12.00 K/sq.yd
1069,NA,₹1.74 Cr,EMI starts at ₹86.25 K,NA,Cybercity Westbrook,NA,2210 sq.ft,Build Up Area2210 sq.ftAvg. Price₹7.86 K/sq.ft
1070,NA,₹96.0 L,EMI starts at ₹47.66 K,NA,"Patancheru, Hyderabad",NA,800 sq.yd,Plot Area800 sq.ydAvg. Price₹12.00 K/sq.yd
1071,NA,₹14.0 L,EMI starts at ₹7.41 K,NA,"eagle infra farm plots,Shadnagar, Hyderabad",NA,240 sq.yd,Plot Area240 sq.ydAvg. Price₹5.83 K/sq.yd
1072,NA,₹30.5 L,EMI starts at ₹16.15 K,NA,"Shankarpally, Hyderabad",NA,183 sq.ft,Plot Area183 sq.ftAvg. Price₹16.67 K/sq.ft
1073,NA,₹35.42 L,EMI starts at ₹18.76 K,NA,Bhuvanteza Aura,NA,1265 sq.ft,Build Up Area1265 sq.ftAvg. Price₹2.80 K/sq.ft
1074,NA,₹44.0 L,EMI starts at ₹23.30 K,NA,"Shankardev,Kollur, Hyderabad",NA,1575 sq.ft,Build Up Area1575 sq.ftAvg. Price₹2.79 K/sq.ft
1075,NA,₹26.25 L,EMI starts at ₹13.90 K,NA,Bhashyam RRR County,NA,150 sq.yd,Plot Area150 sq.ydAvg. Price₹17.50 K/sq.yd
1076,NA,₹10.0 L,EMI starts at ₹5.30 K,NA,"eagle infra farm plots,Thimmapur, Hyderabad",NA,180 sq.yd,Plot Area180 sq.ydAvg. Price₹5.55 K/sq.yd
1077,NA,₹1.17 Cr,EMI starts at ₹57.86 K,NA,"Miyapur, Hyderabad",NA,1880 sq.ft,Build Up Area1880 sq.ftAvg. Price₹6.20 K/sq.ft
1078,NA,₹60.0 L,EMI starts at ₹31.77 K,NA,"Shankarpally, Hyderabad",NA,1150 sq.ft,Build Up Area1150 sq.ftAvg. Price₹5.22 K/sq.ft
1079,NA,₹1.14 Cr,EMI starts at ₹56.75 K,NA,RR Tropicana,NA,1905 sq.ft,Build Up Area1905 sq.ftAvg. Price₹6.00 K/sq.ft
1080,NA,₹60.75 L,EMI starts at ₹32.17 K,NA,"MANIKONDA ,Manikonda, Hyderabad",NA,1350 sq.ft,Build Up Area1350 sq.ftAvg. Price₹4.50 K/sq.ft
1081,NA,₹35.19 L,EMI starts at ₹18.64 K,NA,"Medha Infra,Isnapur, Hyderabad",NA,1035 sq.ft,Build Up Area1035 sq.ftAvg. Price₹3.40 K/sq.ft
1082,Subhagruha Samyuktha Phase 2,₹26.4 L - 58.73 L,EMI starts at ₹13.98 K,Marketed by  Venkat,"Sangareddy,North Hyderabad,Hyderabad",Residential Plots for sale in Sangareddy,"Dec, 2021","Possession StartsDec, 2021Avg. Price₹16.00 K/sq.yd"
1083,Vision Cascade Greens,₹84.78 L - 1.1 Cr,EMI starts at ₹42.09 K,Marketed by  Vision Infra Developers,"Kompally,North Hyderabad,Hyderabad",3 BHK Flat for sale in Kompally,"Nov, 2024","Possession StartsNov, 2024Avg. Price₹5.40 K/sq.ft"
1084,Hill County,₹21.99 L - 63.02 L,EMI starts at ₹11.64 K,Marketed by  Suresh-Urban Habitat,"Bhuvanagiri,East Hyderabad,Hyderabad",Residential Plots for sale in Bhuvanagiri,Ready to Move,Possession StatusReady to MoveAvg. Price₹14.00 K/sq.yd
1085,Codename Central Park,₹62.07 L - 79.3 L,EMI starts at ₹32.87 K,Marketed by  Sri Shubadha Group,"Aminpur,North Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Aminpur","Jun, 2025","Possession StartsJun, 2025Avg. Price₹4.95 K/sq.ft"
1086,Renuka AIIMS Enclave,₹18.37 L - 37.4 L,EMI starts at ₹9.73 K,Marketed by  Renuka Sahasra Projects ,"Bibinagar,East Hyderabad,Hyderabad",Residential Plots for sale in Bibinagar,"Nov, 2022","Possession StartsNov, 2022Avg. Price₹9.34 K/sq.yd"
1087,RNG Supra Avenue,₹1.49 Cr,EMI starts at ₹74.13 K,Marketed by  MG INFRA,"Pragathi Nagar,North Hyderabad,Hyderabad",3s for sale in Pragathi Nagar,"Aug, 2022","Possession StartsAug, 2022Avg. Price₹5.36 K/sq.ft"
1088,Mantik West City Prime,₹15.03 L - 27 L,EMI starts at ₹7.96 K,Marketed by  SVR Gupta,"Sadasivpet,Hyderabad",Residential Plots for sale in Sadasivpet,Ready to Move,Possession StatusReady to MoveAvg. Price₹7.65 K/sq.yd
1089,Landlord Happy Meadows,₹36.73 L - 65.99 L,EMI starts at ₹19.45 K,Marketed by  Landlord Infra Group,"Adibatla,South Hyderabad,Hyderabad",Residential Plots for sale in Adibatla,Ready to Move,Possession StatusReady to MoveAvg. Price₹22.00 K/sq.yd
1090,Ramky One Harmony,₹67.27 L - 95.68 L,EMI starts at ₹35.62 K,Marketed by  Nagesh,"Bachupally,North Hyderabad,Hyderabad","2, 2.5, 3, 3.5 BHK Flats for sale in Bachupally","Dec, 2024","Possession StartsDec, 2024Avg. Price₹5.80 K/sq.ft"
1091,Silpa The Grove,₹30.06 L - 57.6 L,EMI starts at ₹15.92 K,Marketed by  Krishnamraju one idea,"Peddapur,North Hyderabad,Hyderabad",Residential Plots for sale in Peddapur,"Feb, 2022","Possession StartsFeb, 2022Avg. Price₹18.00 K/sq.yd"
1092,ASBL Spectra,₹1.29 Cr - 1.44 Cr,EMI starts at ₹63.90 K,Marketed by  THE RESIDENTIALLY,"Nanakaramguda,West Hyderabad,Hyderabad",3 BHK Flat for sale in Nanakaramguda,"Dec, 2025","Possession StartsDec, 2025Avg. Price₹6.50 K/sq.ft"
1093,Bhashyam Oxygen County Phase 3,₹42 L - 4.2 Cr,EMI starts at ₹22.24 K,Marketed by  Bhashyam Developers,"Kollur,West Hyderabad,Hyderabad",Residential Plots for sale in Kollur,Ready to Move,Possession StatusReady to MoveAvg. Price₹23.80 K/sq.yd
1094,Meda Prestige,₹72.84 L - 1.14 Cr,EMI starts at ₹38.57 K,Marketed by  Meda Prestige,"Miyapur,North Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Miyapur","Mar, 2023","Possession StartsMar, 2023Avg. Price₹6.00 K/sq.ft"
1095,Venice City,₹1.76 Cr - 2.05 Cr,EMI starts at ₹87.46 K,Marketed by  ASHOK,"Patancheru,North Hyderabad,Hyderabad",3 BHK Villa for sale in Patancheru,"Dec, 2022","Possession StartsDec, 2022Avg. Price₹7.90 K/sq.ft"
1096,True Gold Hills,₹7.47 L - 61.71 L,EMI starts at ₹3.96 K,Marketed by  Shaik,"Gandiguda,West Hyderabad,Hyderabad",Residential Plots for sale in Gandiguda,"Jan, 2023","Possession StartsJan, 2023Avg. Price₹6.79 K/sq.yd"
1097,DNR Ashoka Hill Park,₹58.8 L - 71.05 L,EMI starts at ₹31.14 K,Marketed by  Prasad Properties,"Miyapur,North Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Miyapur","Dec, 2022","Possession StartsDec, 2022Avg. Price₹4.90 K/sq.ft"
1098,NA,₹3.0 L,EMI starts at ₹1.59 K,NA,"Vandana,Narayankhed, Hyderabad",NA,605 sq.yd,Plot Area605 sq.ydAvg. Price₹495/sq.yd
1099,NA,₹2.65 Cr,EMI starts at ₹1.32 Lacs,NA,The Olympus,NA,3000 sq.ft,Build Up Area3000 sq.ftAvg. Price₹8.83 K/sq.ft
1100,NA,₹70.3 L,EMI starts at ₹37.23 K,NA,"Thulasivanam Apartments,Aditya Nagar, Hafeezpet,Hyderabad",NA,1212 sq.ft,Build Up Area1212 sq.ftAvg. Price₹5.80 K/sq.ft
1101,NA,₹88.45 L,EMI starts at ₹43.91 K,NA,"Thulasivanam Apartments,Aditya Nagar, Hafeezpet,Hyderabad",NA,1525 sq.ft,Build Up Area1525 sq.ftAvg. Price₹5.80 K/sq.ft
1102,NA,₹2.55 Cr,EMI starts at ₹1.27 Lacs,NA,The Olympus,NA,2880 sq.ft,Build Up Area2880 sq.ftAvg. Price₹8.87 K/sq.ft
1103,NA,₹33.0 L,EMI starts at ₹17.48 K,NA,"Mokila, Hyderabad",NA,200 sq.yd,Plot Area200 sq.ydAvg. Price₹16.50 K/sq.yd
1104,NA,₹79.33 L,EMI starts at ₹39.39 K,NA,Sophists Myra Project,NA,1725 sq.ft,Build Up Area1725 sq.ftAvg. Price₹4.60 K/sq.ft
1105,NA,₹1.01 Cr,EMI starts at ₹50.07 K,NA,Aspire Spaces Ameya,NA,1940 sq.ft,Build Up Area1940 sq.ftAvg. Price₹5.20 K/sq.ft
1106,NA,₹24.2 L,EMI starts at ₹12.82 K,NA,Bhuvanteza Bloomdale,NA,1100 sq.ft,Build Up Area1100 sq.ftAvg. Price₹2.20 K/sq.ft
1107,NA,₹87.61 L,EMI starts at ₹43.49 K,NA,"NBC group,Nallagandla, Hyderabad",NA,2503 sq.ft,Build Up Area2503 sq.ftAvg. Price₹3.50 K/sq.ft
1108,NA,₹31.01 L,EMI starts at ₹16.42 K,NA,Srinivasa Reliance Sunshine,NA,940 sq.ft,Build Up Area940 sq.ftAvg. Price₹3.30 K/sq.ft
1109,NA,₹64.5 L,EMI starts at ₹34.16 K,NA,"NBC group,Tellapur, Hyderabad",NA,1843 sq.ft,Build Up Area1843 sq.ftAvg. Price₹3.50 K/sq.ft
1110,NA,₹29.0 L,EMI starts at ₹15.36 K,NA,"Shankar dev Developers,Kollur, Hyderabad",NA,1145 sq.ft,Build Up Area1145 sq.ftAvg. Price₹2.53 K/sq.ft
1111,NA,₹36.21 L,EMI starts at ₹19.18 K,NA,Medha Golden Leaf,NA,1066 sq.ft,Build Up Area1066 sq.ftAvg. Price₹3.40 K/sq.ft
1112,NA,₹88.94 L,EMI starts at ₹44.15 K,NA,"Nbc group,Serilingampally, Hyderabad",NA,2541 sq.ft,Build Up Area2541 sq.ftAvg. Price₹3.50 K/sq.ft
1113,NA,₹64.5 L,EMI starts at ₹34.16 K,NA,"NBC group,Nallagandla, Hyderabad",NA,1843 sq.ft,Build Up Area1843 sq.ftAvg. Price₹3.50 K/sq.ft
1114,NA,₹42.84 L,EMI starts at ₹22.69 K,NA,Medha Golden Leaf,NA,1261 sq.ft,Build Up Area1261 sq.ftAvg. Price₹3.40 K/sq.ft
1115,NA,₹84.88 L,EMI starts at ₹42.14 K,NA,"NBC group,Tellapur, Hyderabad",NA,2425 sq.ft,Build Up Area2425 sq.ftAvg. Price₹3.50 K/sq.ft
1116,NA,₹1.01 Cr,EMI starts at ₹50.07 K,NA,RR Tropicana,NA,1681 sq.ft,Build Up Area1681 sq.ftAvg. Price₹6.00 K/sq.ft
1117,NA,₹56.0 L,EMI starts at ₹29.66 K,NA,"AG Colony, Upparpally,Hyderabad",NA,1450 sq.ft,Build Up Area1450 sq.ftAvg. Price₹3.86 K/sq.ft
1118,Ideal Nest,₹68.75 L - 82.5 L,EMI starts at ₹36.41 K,Marketed by  G.Vijay,"Narsingi,West Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Narsingi","Feb, 2025","Possession StartsFeb, 2025Avg. Price₹5.00 K/sq.ft"
1119,VNMS Nirvana,₹44.28 L - 87.5 L,EMI starts at ₹23.45 K,Marketed by  VNMS PVT LTD,"Tellapur,West Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Tellapur","May, 2024","Possession StartsMay, 2024Avg. Price₹3.50 K/sq.ft"
1120,Eagle Dhanalakshmi Grandeur,₹14.52 L - 72.59 L,EMI starts at ₹7.69 K,Marketed by  EAGLE INFRA,"Shadnagar,Hyderabad",Residential Plots for sale in Shadnagar,"Jul, 2022","Possession StartsJul, 2022Avg. Price₹5.09 K/sq.yd"
1121,Jains Balaji Nilayam Casa Waterside,₹79.79 L - 1.58 Cr,EMI starts at ₹39.61 K,Marketed by  Aasti Realty,"Malkajgiri, Hyderabad","2, 3, 4 BHK Flats for sale in Neredmet","Dec, 2023","Possession StartsDec, 2023Avg. Price₹6.00 K/sq.ft"
1122,Nsks Royale,₹54.72 L - 94.62 L,EMI starts at ₹28.98 K,Marketed by  BhuvanTeza Infra Projects Pvt Ltd ,"Hafeezpet, Hyderabad","2, 3 BHK Flats for sale in Hafeezpet","Apr, 2022","Possession StartsApr, 2022Avg. Price₹5.70 K/sq.ft"
1123,ELV 55 East Fort,₹62.4 L - 1.15 Cr,EMI starts at ₹33.04 K,By  ELV Projects,"Bandlaguda Jagir,West Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Bandlaguda Jagir","Jan, 2024","Possession StartsJan, 2024Avg. Price₹5.20 K/sq.ft"
1124,Srinivasa Emerald Greens,₹1.02 Cr - 1.79 Cr,EMI starts at ₹50.40 K,Marketed by  Abhijeeth infra projects,"Kompally,North Hyderabad,Hyderabad",3 BHK Flat for sale in Kompally,"Mar, 2024","Possession StartsMar, 2024Avg. Price₹4.70 K/sq.ft"
1125,Primark Eco Nest,₹46.4 L - 86.6 L,EMI starts at ₹24.57 K,Marketed by  Primark,"Kompally,North Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Kompally","Dec, 2024","Possession StartsDec, 2024Avg. Price₹4.00 K/sq.ft"
1126,Sark Green Life Space,Price on Request,NA,By  Sark Projects India Pvt Ltd,"Kondapur,West Hyderabad,Hyderabad",Residential Plots for sale in Kondapur,"Aug, 2022","Possession StartsAug, 2022"
1127,Oakshir Villas,₹1.34 Cr - 1.49 Cr,EMI starts at ₹66.35 K,By  Hallmark Builders ,"Maheshwaram,South Hyderabad,Hyderabad",3 BHK Villa for sale in Maheshwaram,"Dec, 2022","Possession StartsDec, 2022Avg. Price₹5.50 K/sq.ft"
1128,Pragati Islands,₹75.02 L - 80.12 L,EMI starts at ₹37.24 K,By  Pragati Green Meadows And Resorts Ltd,"Shankarpally,Hyderabad",Residential Plots for sale in Shankarpally,Ready to Move,Possession StatusReady to MoveAvg. Price₹15.00 K/sq.yd
1129,Sri Karthikeya Bliss,₹54.85 L - 88.69 L,EMI starts at ₹29.05 K,Marketed by  Abhyas Properties,"Bachupally, Hyderabad","2, 3 BHK Flats for sale in Bachupally","Dec, 2022","Possession StartsDec, 2022Avg. Price₹4.80 K/sq.ft"
1130,Swathi Sree Shankarpalli Hill II,₹18.38 L - 33.75 L,EMI starts at ₹9.73 K,Marketed by  Santosh Reddy,"Shankarpally,Hyderabad",Residential Plots for sale in Shankarpally,"Jan, 2022","Possession StartsJan, 2022Avg. Price₹12.50 K/sq.yd"
1131,Vajra Nature City,₹1.61 Cr,EMI starts at ₹79.93 K,By  Vajra Builders And Developers,"Bowrampet,North Hyderabad,Hyderabad",4 BHK Villa for sale in Bowrampet,"May, 2022","Possession StartsMay, 2022Avg. Price₹7.00 K/sq.ft"
1132,NA,₹24.2 L,EMI starts at ₹12.82 K,NA,Bhuvanteza Bloomdale,NA,1100 sq.ft,Build Up Area1100 sq.ftAvg. Price₹2.20 K/sq.ft
1133,NA,₹55.0 L,EMI starts at ₹29.13 K,NA,Shree Homes,NA,1233 sq.ft,Build Up Area1233 sq.ftAvg. Price₹4.46 K/sq.ft
1134,NA,₹45.0 L,EMI starts at ₹23.83 K,NA,Shree Homes,NA,1140 sq.ft,Build Up Area1140 sq.ftAvg. Price₹3.95 K/sq.ft
1135,NA,₹69.5 L,EMI starts at ₹36.80 K,NA,Shree Homes,NA,1170 sq.ft,Build Up Area1170 sq.ftAvg. Price₹5.94 K/sq.ft
1136,NA,₹32.0 L,EMI starts at ₹16.95 K,NA,"Shankarpally, Hyderabad",NA,166 sq.yd,Plot Area166 sq.ydAvg. Price₹19.28 K/sq.yd
1137,NA,₹36.74 L,EMI starts at ₹19.46 K,NA,"RK LIVING INFRA,Patancheru, Hyderabad",NA,155 sq.yd,Plot Area155 sq.ydAvg. Price₹23.70 K/sq.yd
1138,NA,₹60.0 L,EMI starts at ₹31.77 K,NA,"Patancheru, Hyderabad",NA,500 sq.yd,Plot Area500 sq.ydAvg. Price₹12.00 K/sq.yd
1139,NA,₹30.0 L,EMI starts at ₹15.89 K,NA,"Mokila, Hyderabad",NA,200 sq.ft,Plot Area200 sq.ftAvg. Price₹15.00 K/sq.ft
1140,NA,₹35.0 L,EMI starts at ₹18.53 K,NA,"Kothur, Hyderabad",NA,200 sq.yd,Plot Area200 sq.ydAvg. Price₹17.50 K/sq.yd
1141,NA,₹72.0 L,EMI starts at ₹38.13 K,NA,"Kandi, Hyderabad",NA,600 sq.yd,Plot Area600 sq.ydAvg. Price₹12.00 K/sq.yd
1142,NA,₹96.0 L,EMI starts at ₹47.66 K,NA,"Kandi, Hyderabad",NA,800 sq.yd,Plot Area800 sq.ydAvg. Price₹12.00 K/sq.yd
1143,NA,₹1.8 Cr,EMI starts at ₹89.36 K,NA,Sterling White Field,NA,2300 sq.ft,Build Up Area2300 sq.ftAvg. Price₹7.83 K/sq.ft
1144,NA,₹55.0 L,EMI starts at ₹29.13 K,NA,"urabanrise alliance,Siddipet, Hyderabad",NA,1110 sq.ft,Build Up Area1110 sq.ftAvg. Price₹4.95 K/sq.ft
1145,NA,₹1.18 Cr,EMI starts at ₹58.70 K,NA,Cybercity Westbrook,NA,1470 sq.ft,Build Up Area1470 sq.ftAvg. Price₹8.04 K/sq.ft
1146,NA,₹72.0 L,EMI starts at ₹38.13 K,NA,"Sadasivpet, Hyderabad",NA,600 sq.yd,Plot Area600 sq.ydAvg. Price₹12.00 K/sq.yd
1147,NA,₹1.26 Cr,EMI starts at ₹62.55 K,NA,SNR The Elite,NA,1790 sq.ft,Build Up Area1790 sq.ftAvg. Price₹7.04 K/sq.ft
1148,NA,₹47.74 L,EMI starts at ₹25.28 K,NA,Bhuvanteza Aura,NA,1705 sq.ft,Build Up Area1705 sq.ftAvg. Price₹2.80 K/sq.ft
1149,NA,₹3.0 L,EMI starts at ₹1.59 K,NA,"Vandana Gardens,Zaheerabad, Hyderabad",NA,605 sq.yd,Plot Area605 sq.ydAvg. Price₹495/sq.yd
1150,NA,₹1.59 Cr,EMI starts at ₹78.73 K,NA,The Olympus,NA,1670 sq.ft,Build Up Area1670 sq.ftAvg. Price₹9.50 K/sq.ft
1151,SSD Aditya Nest,₹55.0 L - 56.0 L,EMI starts at ₹29.13 K,Marketed by  Stepping-Stone,"Narsingi,West Hyderabad,Hyderabad",2 BHK Flat for sale in Narsingi,"Jan, 2022","Possession StartsJan, 2022Avg. Price₹6.11 K/sq.ft"
1152,Vsn Temple City Grand,₹6.5 L - 13.0 L,EMI starts at ₹3.44 K,Marketed by  Ramesh Rao,"Yadagirigutta,Hyderabad",Residential Plots for sale in Yadagirigutta,"Dec, 2022","Possession StartsDec, 2022Avg. Price₹6.50 K/sq.yd"
1153,Kismatpur villas,₹5.5 Cr,EMI starts at ₹2.73 Lacs,By  Haripriya Developers,"Kismatpur,West Hyderabad,Hyderabad",3 BHK Villa for sale in Kismatpur,Ready to Move,Possession StatusReady to MoveAvg. Price₹11.57 K/sq.ft
1154,Surya Galaxy Towers,₹46.02 L - 57.49 L,EMI starts at ₹24.37 K,Marketed by  Blue Sky Realties,"Pocharam,East Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Pocharam","Mar, 2022","Possession StartsMar, 2022Avg. Price₹3.80 K/sq.ft"
1155,NSL East County,₹73.48 L - 1.17 Cr,EMI starts at ₹38.91 K,Marketed by  THE RESIDENTIALLY,"Uppal,East Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Uppal","Apr, 2025","Possession StartsApr, 2025Avg. Price₹5.55 K/sq.ft"
1156,Vessella Meadows,₹5.22 Cr - 9.67 Cr,EMI starts at ₹2.59 Lacs,By  Vessella Group,"Narsingi, Hyderabad","3, 4, 5 BHK Flat, Villas for sale in Ibrahim Bagh",Possession Started,Possession StatusPossession StartedAvg. Price₹18.00 K/sq.ft
1157,Riddhi Valentino,₹59.28 L - 81.14 L,EMI starts at ₹31.39 K,Marketed by  Bricks & Blocks,"Serilingampally,North Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Serilingampally",Ready to Move,Possession StatusReady to MoveAvg. Price₹5.20 K/sq.ft
1158,Tranquillo MPR Urban City,₹23.73 L - 33.22 L,EMI starts at ₹12.56 K,Marketed by  Hema koteshwar,"Patancheru, Hyderabad","1, 2 BHK Flats for sale in Patancheru","Jun, 2024","Possession StartsJun, 2024Avg. Price₹3.90 K/sq.ft"
1159,Kalpataru Residency,₹82.99 L - 1.05 Cr,EMI starts at ₹41.20 K,By   Kalpataru Group ,"Sanathnagar, Erragadda, Hyderabad",3 BHK Flat for sale in Erragadda,Ready to Move,Possession StatusReady to MoveAvg. Price₹5.55 K/sq.ft
1160,Cybercity Marina Skies,₹90.74 L - 1.75 Cr,EMI starts at ₹45.05 K,Marketed by  Proptiger,"Hitech City, Madhapur","2, 2.5, 3 BHK Flats for sale in Borabanda","Dec, 2021","Possession StartsDec, 2021Avg. Price₹7.80 K/sq.ft"
